Row	original_taxon	Vernacular	Family	Order	SQS	Conservation status	Current conservation status	Designation summary	Larval feeding guild	Adult feeding guild	Broad biotope	Habitat	Resources	Specific assemblage type	Habitat score	Associations	Genus	subgenus	species	subspecies	Taxon
4592	Phyllonorycter blancardella	Brown Apple Midget	Gracillariidae	Lepidoptera					herbivore	nectivore	tree-associated	arboreal	canopy >> scrub at wood edge/glade, conifer or broadleaved >> broadleaved only			Malus	Phyllonorycter		blancardella		Phyllonorycter blancardella
4593	Phyllonorycter cavella	Gold Birch Midget	Gracillariidae	Lepidoptera					herbivore	nectivore	tree-associated	arboreal	canopy, conifer or broadleaved >> broadleaved only			Betula	Phyllonorycter		cavella		Phyllonorycter cavella
4594	Phyllonorycter cerasicolella	Cherry Midget	Gracillariidae	Lepidoptera					herbivore	nectivore	tree-associated	arboreal	canopy >> scrub at wood edge/glade, conifer or broadleaved >> broadleaved only, leaves and/or stems >> leaves (miners)			Prunus	Phyllonorycter		cerasicolella		Phyllonorycter cerasicolella
4595	Phyllonorycter comparella	Winter Poplar Midget	Gracillariidae	Lepidoptera	4				herbivore	nectivore						Populus	Phyllonorycter		comparella		Phyllonorycter comparella
4596	Phyllonorycter coryli	Nut Leaf Blister Moth	Gracillariidae	Lepidoptera					herbivore	nectivore	tree-associated	arboreal	canopy, conifer or broadleaved >> broadleaved only			Corylus	Phyllonorycter		coryli		Phyllonorycter coryli
4597	Phyllonorycter corylifoliella	Hawthorn Midget	Gracillariidae	Lepidoptera					herbivore	nectivore	tree-associated	arboreal	canopy >> scrub at wood edge/glade, conifer or broadleaved >> broadleaved only, leaves and/or stems >> leaves (miners)			Betula, Crataegus, Sorbus	Phyllonorycter		corylifoliella		Phyllonorycter corylifoliella
4598	Phyllonorycter distentella	Scarce Midget	Gracillariidae	Lepidoptera	8	pRDB 2	[Threat]	[IUCN Threat listing] (1)	herbivore	nectivore	tree-associated	arboreal	canopy, conifer or broadleaved >> broadleaved only, leaves and/or stems >> leaves (miners)			Quercus	Phyllonorycter		distentella		Phyllonorycter distentella
4599	Phyllonorycter dubitella	Southern Midget	Gracillariidae	Lepidoptera	4				herbivore	nectivore	tree-associated	arboreal	canopy, conifer or broadleaved >> broadleaved only			Salix	Phyllonorycter		dubitella		Phyllonorycter dubitella
4600	Phyllonorycter emberizaepenella	Large Midget	Gracillariidae	Lepidoptera					herbivore	nectivore	tree-associated	arboreal	canopy, conifer or broadleaved >> broadleaved only			Lonicera	Phyllonorycter		emberizaepenella		Phyllonorycter emberizaepenella
4601	Phyllonorycter esperella	Dark Hornbeam Midget	Gracillariidae	Lepidoptera					herbivore	nectivore						Carpinus	Phyllonorycter		esperella		Phyllonorycter esperella
4602	Phyllonorycter froelichiella	Broad-barred Midget	Gracillariidae	Lepidoptera					herbivore	nectivore	tree-associated	arboreal	canopy, conifer or broadleaved >> broadleaved only, leaves and/or stems >> leaves (miners)			Alnus	Phyllonorycter		froelichiella		Phyllonorycter froelichiella
4603	Phyllonorycter geniculella	Sycamore Midget	Gracillariidae	Lepidoptera					herbivore	nectivore	tree-associated	arboreal	canopy, conifer or broadleaved >> broadleaved only			Acer pseudoplatanus	Phyllonorycter		geniculella		Phyllonorycter geniculella
4604	Phyllonorycter harrisella	White Oak Midget	Gracillariidae	Lepidoptera					herbivore	nectivore	tree-associated	arboreal	canopy, conifer or broadleaved >> broadleaved only			Quercus	Phyllonorycter		harrisella		Phyllonorycter harrisella
4605	Phyllonorycter heegeriella	Pale Oak Midget	Gracillariidae	Lepidoptera					herbivore	nectivore	tree-associated	arboreal	canopy, conifer or broadleaved >> broadleaved only			Quercus	Phyllonorycter		heegeriella		Phyllonorycter heegeriella
4606	Phyllonorycter hilarella	Sallow Midget	Gracillariidae	Lepidoptera					herbivore	nectivore	tree-associated	arboreal	canopy, conifer or broadleaved >> broadleaved only			Salix	Phyllonorycter		hilarella		Phyllonorycter hilarella
4607	Phyllonorycter hostis		Gracillariidae	Lepidoptera					herbivore	nectivore	tree-associated	arboreal	canopy >> scrub at wood edge/glade			Malus, Prunus	Phyllonorycter		hostis		Phyllonorycter hostis
4608	Phyllonorycter insignitella	Clover Midget	Gracillariidae	Lepidoptera	16	pRDB 1	[Threat]	[IUCN Threat listing] (1)	herbivore	nectivore	open habitats	tall sward & scrub	habitats >> sward/field layer			Asteraceae	Phyllonorycter		insignitella		Phyllonorycter insignitella
4609	Phyllonorycter joannisi	White-bodied Midget	Gracillariidae	Lepidoptera	1				herbivore	nectivore	tree-associated	arboreal	canopy, conifer or broadleaved >> broadleaved only			Acer platanoides	Phyllonorycter		joannisi		Phyllonorycter joannisi
4610	Phyllonorycter junoniella	Upland Midget	Gracillariidae	Lepidoptera	4				herbivore	nectivore	open habitats	tall sward & scrub; upland	base status >> acidic, habitats >> sward/field layer			Vaccinium vitis-idaea	Phyllonorycter		junoniella		Phyllonorycter junoniella
4611	Phyllonorycter klemannella	Dark Alder Midget	Gracillariidae	Lepidoptera					herbivore	nectivore	tree-associated	arboreal	canopy, conifer or broadleaved >> broadleaved only			Alnus	Phyllonorycter		klemannella		Phyllonorycter klemannella
4612	Phyllonorycter kuhlweiniella	Scarce Oak Midget	Gracillariidae	Lepidoptera	8	pRDB 3	[Rare]	[GB Rarity listing] (1)	herbivore	nectivore	tree-associated	arboreal	canopy, conifer or broadleaved >> broadleaved only			Quercus	Phyllonorycter		kuhlweiniella		Phyllonorycter kuhlweiniella
4613	Phyllonorycter lantanella	Viburnum Midget	Gracillariidae	Lepidoptera					herbivore	nectivore	tree-associated	arboreal	canopy, conifer or broadleaved >> broadleaved only			Viburnum	Phyllonorycter		lantanella		Phyllonorycter lantanella
4614	Phyllonorycter lautella	Fiery Oak Midget	Gracillariidae	Lepidoptera					herbivore	nectivore	tree-associated	arboreal	canopy, conifer or broadleaved >> broadleaved only			Quercus	Phyllonorycter		lautella		Phyllonorycter lautella
4615	Phyllonorycter leucographella	Firethorn Leaf Miner	Gracillariidae	Lepidoptera					herbivore	nectivore	open habitats	tall sward & scrub	habitats >> sward/field layer			Pyracantha	Phyllonorycter		leucographella		Phyllonorycter leucographella
4616	Phyllonorycter maestingella	Beech Midget	Gracillariidae	Lepidoptera					herbivore	nectivore	tree-associated	arboreal	canopy, conifer or broadleaved >> broadleaved only			Fagus	Phyllonorycter		maestingella		Phyllonorycter maestingella
4617	Phyllonorycter mespilella	Scarce Brown Midget	Gracillariidae	Lepidoptera	4				herbivore	nectivore						Sorbus	Phyllonorycter		mespilella		Phyllonorycter mespilella
4618	Phyllonorycter messaniella	Garden Midget	Gracillariidae	Lepidoptera					herbivore	nectivore	tree-associated	arboreal	canopy, conifer or broadleaved >> broadleaved only			Quercus	Phyllonorycter		messaniella		Phyllonorycter messaniella
4619	Phyllonorycter muelleriella	Western Midget	Gracillariidae	Lepidoptera	4				herbivore	nectivore	tree-associated	arboreal	canopy, conifer or broadleaved >> broadleaved only			Quercus	Phyllonorycter		muelleriella		Phyllonorycter muelleriella
4620	Phyllonorycter nicellii	Red Hazel Midget	Gracillariidae	Lepidoptera					herbivore	nectivore	tree-associated	arboreal	canopy, conifer or broadleaved >> broadleaved only			Corylus	Phyllonorycter		nicellii		Phyllonorycter nicellii
4621	Phyllonorycter nigrescentella	Vetch Midget	Gracillariidae	Lepidoptera	8	pRDB 3	[Rare]	[GB Rarity listing] (1)	herbivore	nectivore	open habitats	tall sward & scrub	habitats >> sward/field layer			Asteraceae	Phyllonorycter		nigrescentella		Phyllonorycter nigrescentella
4622	Phyllonorycter oxyacanthae	Common Thorn Midget	Gracillariidae	Lepidoptera					herbivore	nectivore	tree-associated	arboreal	canopy >> scrub at wood edge/glade, conifer or broadleaved >> broadleaved only			Crataegus	Phyllonorycter		oxyacanthae		Phyllonorycter oxyacanthae
4623	Phyllonorycter platani	London Midget	Gracillariidae	Lepidoptera					herbivore	nectivore	tree-associated	arboreal	canopy, conifer or broadleaved >> broadleaved only				Phyllonorycter		platani		Phyllonorycter platani
4624	Phyllonorycter quercifoliella	Common Oak Midget	Gracillariidae	Lepidoptera					herbivore	nectivore	tree-associated	arboreal	canopy, conifer or broadleaved >> broadleaved only			Quercus	Phyllonorycter		quercifoliella		Phyllonorycter quercifoliella
4625	Phyllonorycter quinqueguttella	Sandhill Midget	Gracillariidae	Lepidoptera	4				herbivore	nectivore	tree-associated	arboreal	canopy, conifer or broadleaved >> broadleaved only			Salix	Phyllonorycter		quinqueguttella		Phyllonorycter quinqueguttella
4626	Phyllonorycter rajella	Common Alder Midget	Gracillariidae	Lepidoptera					herbivore	nectivore	tree-associated	arboreal	canopy, conifer or broadleaved >> broadleaved only			Alnus	Phyllonorycter		rajella		Phyllonorycter rajella
4627	Phyllonorycter roboris	Gold-bent Midget	Gracillariidae	Lepidoptera	4				herbivore	nectivore	tree-associated	arboreal	canopy, conifer or broadleaved >> broadleaved only			Quercus	Phyllonorycter		roboris		Phyllonorycter roboris
4628	Phyllonorycter sagitella	Scarce Aspen Midget	Gracillariidae	Lepidoptera	8	pRDB 2; Section 41 Priority Species	S41. Priority Species; [Threat]	Legal listing (1); [IUCN Threat listing] (1)	herbivore	nectivore	tree-associated	arboreal	canopy, conifer or broadleaved >> broadleaved only			Populus tremula	Phyllonorycter		sagitella		Phyllonorycter sagitella
4629	Phyllonorycter salicicolella	Long-streak Midget	Gracillariidae	Lepidoptera					herbivore	nectivore	tree-associated	arboreal	canopy, conifer or broadleaved >> broadleaved only			Salix	Phyllonorycter		salicicolella		Phyllonorycter salicicolella
4630	Phyllonorycter scabiosella	Surrey Midget	Gracillariidae	Lepidoptera	8	pRDB 2; Section 41 Priority Species	S41. Priority Species; [Threat]	Legal listing (1); [IUCN Threat listing] (1)	herbivore	nectivore	open habitats	tall sward & scrub	base status >> base rich, habitats >> sward/field layer, soil type >> calcareous substrates			Scabiosa columbaria	Phyllonorycter		scabiosella		Phyllonorycter scabiosella
4631	Phyllonorycter schreberella	Small Elm Midget	Gracillariidae	Lepidoptera					herbivore	nectivore	tree-associated	arboreal	canopy, conifer or broadleaved >> broadleaved only			Ulmus	Phyllonorycter		schreberella		Phyllonorycter schreberella
4632	Phyllonorycter scopariella	Broom Midget	Gracillariidae	Lepidoptera	4				herbivore	nectivore	open habitats	tall sward & scrub	habitats >> sward/field layer			Cytisus scoparius	Phyllonorycter		scopariella		Phyllonorycter scopariella
4633	Phyllonorycter sorbi	Rowan Midget	Gracillariidae	Lepidoptera					herbivore	nectivore	tree-associated	arboreal	canopy, conifer or broadleaved >> broadleaved only			Sorbus	Phyllonorycter		sorbi		Phyllonorycter sorbi
4634	Phyllonorycter spinicolella	Sloe Midget	Gracillariidae	Lepidoptera					herbivore	nectivore	tree-associated	arboreal	canopy >> scrub at wood edge/glade, conifer or broadleaved >> broadleaved only, leaves and/or stems >> leaves (miners)			Prunus	Phyllonorycter		spinicolella		Phyllonorycter spinicolella
4635	Phyllonorycter staintoniella	Cornish Midget	Gracillariidae	Lepidoptera	16	pRDB 1	[Threat]	[IUCN Threat listing] (1)	herbivore	nectivore	open habitats	tall sward & scrub	habitats >> sward/field layer			Cytisus scoparius, Genista tinctoria	Phyllonorycter		staintoniella		Phyllonorycter staintoniella
4636	Phyllonorycter stettinensis	Small Alder Midget	Gracillariidae	Lepidoptera					herbivore	nectivore	tree-associated	arboreal	canopy, conifer or broadleaved >> broadleaved only			Alnus	Phyllonorycter		stettinensis		Phyllonorycter stettinensis
4637	Phyllonorycter strigulatella	Grey-alder Midget	Gracillariidae	Lepidoptera	1				herbivore	nectivore						Alnus	Phyllonorycter		strigulatella		Phyllonorycter strigulatella
4638	Phyllonorycter tenerella	Hornbeam Midget	Gracillariidae	Lepidoptera					herbivore	nectivore	tree-associated	arboreal	canopy, conifer or broadleaved >> broadleaved only			Carpinus	Phyllonorycter		tenerella		Phyllonorycter tenerella
4639	Phyllonorycter trifasciella	Honeysuckle Midget	Gracillariidae	Lepidoptera					herbivore	nectivore	tree-associated	arboreal	canopy, conifer or broadleaved >> broadleaved only			Lonicera	Phyllonorycter		trifasciella		Phyllonorycter trifasciella
4640	Phyllonorycter tristrigella	Elm Midget	Gracillariidae	Lepidoptera					herbivore	nectivore	tree-associated	arboreal	canopy, conifer or broadleaved >> broadleaved only			Ulmus	Phyllonorycter		tristrigella		Phyllonorycter tristrigella
4641	Phyllonorycter ulicicolella	Gorse Midget	Gracillariidae	Lepidoptera	4				herbivore	nectivore	open habitats	tall sward & scrub	habitats >> sward/field layer			Ulex	Phyllonorycter		ulicicolella		Phyllonorycter ulicicolella
4642	Phyllonorycter ulmifoliella	Red Birch Midget	Gracillariidae	Lepidoptera					herbivore	nectivore						Betula	Phyllonorycter		ulmifoliella		Phyllonorycter ulmifoliella
4643	Phyllonorycter viminetorum	Osier Midget	Gracillariidae	Lepidoptera	4				herbivore	nectivore	tree-associated	arboreal	canopy, leaves and/or stems >> leaves (miners)			Salix viminalis	Phyllonorycter		viminetorum		Phyllonorycter viminetorum
4644	Phyllonorycter viminiella	Willow Midget	Gracillariidae	Lepidoptera					herbivore	nectivore						Salix	Phyllonorycter		viminiella		Phyllonorycter viminiella
4645	Povolnya leucapennella	Sulphur Slender	Gracillariidae	Lepidoptera	4				herbivore	nectivore	tree-associated	arboreal	canopy, conifer or broadleaved >> broadleaved only, leaves and/or stems >> young leaves/ shoots			Quercus	Povolnya		leucapennella		Povolnya leucapennella
4646	Heliodines roesella	Roesel's Signal	Heliodinidae	Lepidoptera	32	Extinct	RE	IUCN Threat listing (1)	herbivore	nectivore	open habitats	tall sward & scrub	habitats >> sward/field layer			Chenopodium	Heliodines		roesella		Heliodines roesella
4647	Antispila metallella	Four-spot Lift	Heliozelidae	Lepidoptera	1				herbivore	nectivore						Cornus	Antispila		metallella		Antispila metallella
4648	Antispila petryi	Yellow-spot Lift	Heliozelidae	Lepidoptera					herbivore	nectivore	tree-associated	arboreal	canopy >> scrub at wood edge/glade, conifer or broadleaved >> broadleaved only, leaves and/or stems >> leaves (miners)			Cornus	Antispila		petryi		Antispila petryi
4649	Heliozela hammoniella	Birch Lift	Heliozelidae	Lepidoptera	1				parasitoid	nectivore						Betula	Heliozela		hammoniella		Heliozela hammoniella
4650	Heliozela resplendella	Alder Lift	Heliozelidae	Lepidoptera	1				herbivore	nectivore	tree-associated	arboreal	canopy, conifer or broadleaved >> broadleaved only, leaves and/or stems >> leaves (miners)			Alnus	Heliozela		resplendella		Heliozela resplendella
4651	Heliozela sericiella	Oak Satin Lift	Heliozelidae	Lepidoptera	1				herbivore	nectivore	tree-associated	arboreal	canopy, conifer or broadleaved >> broadleaved only, leaves and/or stems >> leaves (miners)			Quercus	Heliozela		sericiella		Heliozela sericiella
4652	Hepialus humuli	Ghost Moth	Hepialidae	Lepidoptera	1	Section 41 Priority Species - research only	S41. Priority Species - research only	Legal listing (1)	herbivore	nectivore	open habitats	tall sward & scrub	habitats >> soil & roots, habitats >> sward/field layer, soil humidity >> dry			Asteraceae	Hepialus		humuli		Hepialus humuli
4653	Korscheltellus fusconebulosa	Map-winged Swift	Hepialidae	Lepidoptera	1				herbivore	nectivore	open habitats	tall sward & scrub	base status >> acidic, habitats >> soil & roots, habitats >> sward/field layer			Pteridium aquilinum	Korscheltellus		fusconebulosa		Korscheltellus fusconebulosa
4654	Korscheltellus lupulina	Common Swift	Hepialidae	Lepidoptera	1				herbivore	nectivore	open habitats	tall sward & scrub	habitats >> soil & roots, habitats >> sward/field layer, soil humidity >> dry			Asteraceae	Korscheltellus		lupulina		Korscheltellus lupulina
4655	Phymatopus hecta	Gold Swift	Hepialidae	Lepidoptera	1				herbivore	nectivore	open habitats	tall sward & scrub	habitats >> soil & roots, habitats >> sward/field layer, soil humidity >> dry			Polypodiales, Pteridium aquilinum	Phymatopus		hecta		Phymatopus hecta
4656	Triodia sylvina	Orange Swift	Hepialidae	Lepidoptera	1				herbivore	nectivore	open habitats	tall sward & scrub	habitats >> soil & roots, habitats >> sward/field layer, soil humidity >> dry			Asteraceae	Triodia		sylvina		Triodia sylvina
4657	Carterocephalus palaemon	Chequered Skipper	Hesperiidae	Lepidoptera	4	Legal Protection; NS; Section 41 Priority Species	LC; Legal protection; Nationally Scarce; S41. Priority Species	GB Rarity listing (1); IUCN Threat listing (1); Legal listing (2)	herbivore	nectivore	open habitats	tall sward & scrub	habitats >> sward/field layer, soil humidity >> damp	F001		Molinia caerulea	Carterocephalus		palaemon		Carterocephalus palaemon
4658	Erynnis tages	Dingy Skipper	Hesperiidae	Lepidoptera	1	Section 41 Priority Species	LC; S41. Priority Species	IUCN Threat listing (1); Legal listing (1)	herbivore	nectivore	open habitats	tall sward & scrub	habitats >> sward/field layer			Hippocrepis comosa, Lotus corniculatus, Lotus pedunculatus	Erynnis		tages		Erynnis tages
4659	Hesperia comma	Silver-spotted Skipper	Hesperiidae	Lepidoptera	8	Legal Protection; NS; VU	Legal protection; Nationally Scarce; VU	GB Rarity listing (1); IUCN Threat listing (1); Legal listing (1)	herbivore	nectivore	open habitats	short sward & bare ground	base status >> base rich, habitats >> sward/field layer, soil humidity >> dry	F112		Festuca	Hesperia		comma		Hesperia comma
