For further details, refer to the Master List sheet.	Recommended_taxon_name	Recommended_authority	Recommended_qualifier	Recommended_taxon_version	A: Bern Convention	C: Birds Directive	C1: Convention on Migratory Species	C2: OSPAR	D: Habitats Directive	E: EC Cites	F: Global Red list status	Fa: Red Listing based on pre 1994 IUCN guidelines	Fb: Red Listing based on 1994 IUCN guidelines	Fc: Red listing based on 2001 IUCN guidelines	Fd: Red data categories  - birds (not based on IUCN criteria)	Fe: Red data categories - Spiders (not based on IUCN criteria)	Ga: Rare and scarce species	Gb: Rare and scarce species (not based on IUCN criteria)	Ha: Biodiversity Action Plan UK list of priority species	Hb: Biodiversity Lists - England	Hc: Biodiversity Lists - Scotland	Hd: Biodiversity Lists - Wales	He: Biodiversity Lists - Northern Ireland	I: Wildlife and Countryside Act 1981	J: The Wildlife (Northern Ireland) Order 1985	K: The Conservation of Habitats and Species Regulations 2010	L: The Conservation (Nature Habitats, etc_) Regulations (NI) 199	M: Protection of Badgers Act
insect - beetle (Coleoptera)	Atheta aegra	(Heer, 1841)		NBNSYS0000023857														Notable										
insect - beetle (Coleoptera)	Atheta aquatilis	(Thomson, C.G., 1867)		NHMSYS0001717052														Notable										
insect - beetle (Coleoptera)	Atheta autumnalis	(Erichson, 1839)		NBNSYS0000023928								RedList_GB_Pre94-Insu																
insect - beetle (Coleoptera)	Atheta basicornis	(Mulsant & Rey, 1852)		NBNSYS0000023929														Notable										
insect - beetle (Coleoptera)	Atheta benickiella	Brundin, 1948		NBNSYS0000023861														Notable										
insect - beetle (Coleoptera)	Atheta boletophila	(Thomson, C.G., 1856)		NHMSYS0001717053								RedList_GB_Pre94-Insu																
insect - beetle (Coleoptera)	Atheta britteni	Joy, 1913		NBNSYS0000023823														Notable										
insect - beetle (Coleoptera)	Atheta corvina	(Thomson, C.G., 1856)		NHMSYS0021419769								RedList_GB_Pre94-Insu																
insect - beetle (Coleoptera)	Atheta cribrata	(Kraatz, 1856)		NBNSYS0000023874														Notable										
insect - beetle (Coleoptera)	Atheta deformis	(Kraatz, 1856)		NBNSYS0000023825														Notable										
insect - beetle (Coleoptera)	Atheta difficilis	(Brisout de Barneville, C., 1860)		NBNSYS0000023840														Notable										
insect - beetle (Coleoptera)	Atheta dilaticornis	(Kraatz, 1856)		NHMSYS0021419819								RedList_GB_Pre94-Insu																
insect - beetle (Coleoptera)	Atheta diversa	(Sharp, 1869)		NBNSYS0000023933														Notable										
insect - beetle (Coleoptera)	Atheta ebenina	(Mulsant & Rey, 1873)		NBNSYS0000023920								RedList_GB_Pre94-Insu																
insect - beetle (Coleoptera)	Atheta excelsa	Bernhauer, 1911		NBNSYS0000023864														Notable										
insect - beetle (Coleoptera)	Atheta fimorum	(Brisout de Barneville, C., 1860)		NBNSYS0000023934								RedList_GB_Pre94-Insu																
insect - beetle (Coleoptera)	Atheta fussi	Bernhauer, 1908		NBNSYS0000023894								RedList_GB_Pre94-Insu																
insect - beetle (Coleoptera)	Atheta glabricula	Thomson, C.G., 1867		NHMSYS0021419849														Notable										
insect - beetle (Coleoptera)	Atheta hansseni	Strand, A., 1943		NBNSYS0000023881								RedList_GB_Pre94-Insu																
insect - beetle (Coleoptera)	Atheta hybrida	Sharp, 1869		NBNSYS0000023882								RedList_GB_Pre94-Insu																
insect - beetle (Coleoptera)	Atheta hygrobia	(Thomson, C.G., 1856)		NHMSYS0021419894														Notable										
insect - beetle (Coleoptera)	Atheta laevana	(Mulsant & Rey, 1852)		NBNSYS0000023952								RedList_GB_Pre94-Insu																
insect - beetle (Coleoptera)	Atheta laevicauda	Sahlberg, J., 1876		NHMSYS0001717062								RedList_GB_Pre94-Insu																
insect - beetle (Coleoptera)	Atheta mortuorum	Thomson, C.G., 1867		NHMSYS0021419869								RedList_GB_Pre94-Insu																
insect - beetle (Coleoptera)	Atheta nigritula	(Gravenhorst, 1802)		NBNSYS0000023854														Notable										
insect - beetle (Coleoptera)	Atheta orphana	(Erichson, 1837)		NBNSYS0000023898														Notable										
insect - beetle (Coleoptera)	Atheta palleola	(Erichson, 1837)		NBNSYS0000023870								RedList_GB_Pre94-Inde																
insect - beetle (Coleoptera)	Atheta paracrassicornis	Brundin, 1954		NBNSYS0000023941								RedList_GB_Pre94-Insu																
insect - beetle (Coleoptera)	Atheta parca	(Mulsant & Rey, 1873)		NHMSYS0021419904								RedList_GB_Pre94-Insu																
insect - beetle (Coleoptera)	Atheta pervagata	Benick, G., 1973		NBNSYS0000023876								RedList_GB_Pre94-Insu																
insect - beetle (Coleoptera)	Atheta picipes	(Thomson, C.G., 1856)		NBNSYS0000023884														Notable										
insect - beetle (Coleoptera)	Atheta pilicornis	(Thomson, C.G., 1852)		NHMSYS0001717069														Notable										
insect - beetle (Coleoptera)	Atheta procera	(Kraatz, 1856)		NBNSYS0000023943								RedList_GB_Pre94-Insu																
insect - beetle (Coleoptera)	Atheta puberula	(Sharp, 1869)		NBNSYS0000023856								RedList_GB_Pre94-Insu																
insect - beetle (Coleoptera)	Atheta puncticollis	Benick, 1938		NBNSYS0000023957														Notable										
insect - beetle (Coleoptera)	Atheta scapularis	(Sahlberg, C.R., 1831)		NBNSYS0000142593														Notable										
insect - beetle (Coleoptera)	Atheta scotica	(Elliman, 1909)		NBNSYS0000023837														Notable										
insect - beetle (Coleoptera)	Atheta sodermani	Bernhauer, 1931		NHMSYS0021419774														Notable										
insect - beetle (Coleoptera)	Atheta spatuloides	Benick, 1939		NBNSYS0000023872								RedList_GB_Pre94-Insu																
insect - beetle (Coleoptera)	Atheta strandiella	Brundin, 1954		NBNSYS0000023946														Notable										
insect - beetle (Coleoptera)	Atheta subterranea	(Mulsant & Rey, 1853)		NHMSYS0021419854								RedList_GB_Pre94-Insu																
insect - beetle (Coleoptera)	Atheta terminalis	(Gravenhorst, 1806)		NBNSYS0000023838								RedList_GB_Pre94-Insu																
insect - beetle (Coleoptera)	Atheta testaceipes	(Heer, 1839)		NBNSYS0000023878								RedList_GB_Pre94-Insu																
insect - beetle (Coleoptera)	Atheta zosterae	(Thomson, C.G., 1856)		NBNSYS0000023915														Notable										
insect - beetle (Coleoptera)	Atholus bimaculatus	(Linnaeus, 1758)		NHMSYS0001717077										RedList_GB_post2001-LC														
insect - beetle (Coleoptera)	Atholus duodecimstriatus	(Schrank, 1781)		NBNSYS0000022861										RedList_GB_post2001-LC														
insect - beetle (Coleoptera)	Athous campyloides	Newman, 1833		NBNSYS0000010950														Notable-B										
insect - beetle (Coleoptera)	Athous subfuscus	(Müller, O.F., 1764)		NBNSYS0000010953								RedList_GB_Pre94-R																
insect - beetle (Coleoptera)	Atomaria atra	(Herbst, 1793)		NBNSYS0000024617														Notable										
insect - beetle (Coleoptera)	Atomaria badia	Erichson, 1846		NBNSYS0000005379								RedList_GB_Pre94-Inde																
insect - beetle (Coleoptera)	Atomaria bella	Reitter, 1875		NBNSYS0000024643								RedList_GB_Pre94-Insu																
insect - beetle (Coleoptera)	Atomaria clavigera	Ganglbauer, 1899		NBNSYS0000024621								RedList_GB_Pre94-Insu																
insect - beetle (Coleoptera)	Atomaria diluta	Erichson, 1846		NBNSYS0000024645								RedList_GB_Pre94-Insu																
insect - beetle (Coleoptera)	Atomaria fimetarii	(Fabricius, 1792)		NBNSYS0000024646														Notable										
insect - beetle (Coleoptera)	Atomaria hislopi	Wollaston, 1857		NBNSYS0000024626								RedList_GB_Pre94-Inde																
insect - beetle (Coleoptera)	Atomaria impressa	Erichson, 1846		NBNSYS0000024648														Notable										
insect - beetle (Coleoptera)	Atomaria lohsei	Johnson & Strand, A., 1968		NBNSYS0000024650								RedList_GB_Pre94-Insu																
insect - beetle (Coleoptera)	Atomaria longicornis	Thomson, C.G., 1863		NHMSYS0020151414								RedList_GB_Pre94-Insu																
insect - beetle (Coleoptera)	Atomaria morio	Kolenati, 1846		NBNSYS0000024629								RedList_GB_Pre94-Insu																
insect - beetle (Coleoptera)	Atomaria nigripennis	(Kugelann, 1794)		NBNSYS0000024631														Notable										
insect - beetle (Coleoptera)	Atomaria nigriventris	Stephens, 1830		NBNSYS0000024651														Notable										
insect - beetle (Coleoptera)	Atomaria ornata	Heer, 1841		NBNSYS0000024622								RedList_GB_Pre94-Inde																
insect - beetle (Coleoptera)	Atomaria peltata	Kraatz, 1853		NBNSYS0000024633								RedList_GB_Pre94-Insu																
insect - beetle (Coleoptera)	Atomaria pseudatra	Reitter, 1888		NBNSYS0000024635								RedList_GB_Pre94-Inde																
insect - beetle (Coleoptera)	Atomaria pulchra	Erichson, 1846		NBNSYS0000024653														Notable										
insect - beetle (Coleoptera)	Atomaria puncticollis	Thomson, C.G., 1868		NBNSYS0000024654								RedList_GB_Pre94-Insu																
insect - beetle (Coleoptera)	Atomaria punctithorax	Reitter, 1888		NBNSYS0000024644														Notable										
insect - beetle (Coleoptera)	Atomaria rhenonum	Kraatz, 1853		NHMSYS0021179591														Notable										
insect - beetle (Coleoptera)	Atomaria rubricollis	Brisout de Barneville, C., 1863		NBNSYS0000024638								RedList_GB_Pre94-Inde																
insect - beetle (Coleoptera)	Atomaria scutellaris	Motschulsky, 1849		NBNSYS0000024640								RedList_GB_Pre94-Insu																
insect - beetle (Coleoptera)	Atomaria strandi	Johnson, 1967		NBNSYS0000024656														Notable										
insect - beetle (Coleoptera)	Atomaria umbrina	(Gyllenhal, 1827)		NBNSYS0000024657														Notable										
insect - beetle (Coleoptera)	Atomaria wollastoni	Sharp, 1867		NBNSYS0000024658								RedList_GB_Pre94-Insu																
insect - beetle (Coleoptera)	Atomaria zetterstedti	(Zetterstedt, 1838)		NBNSYS0000024641								RedList_GB_Pre94-Insu																
insect - beetle (Coleoptera)	Attactagenus plumbeus	(Marsham, 1802)		NHMSYS0020151427														Notable-B					NI_Priority					
insect - beetle (Coleoptera)	Attagenus brunneus	Faldermann, 1835		NBNSYS0000005385										RedList_GB_post2001-NA														
insect - beetle (Coleoptera)	Attagenus cyphonoides	Reitter, 1881		NBNSYS0000024281										RedList_GB_post2001-NA														
insect - beetle (Coleoptera)	Attagenus fasciatus	(Thunberg, 1795)		NBNSYS0000024282										RedList_GB_post2001-NA														
insect - beetle (Coleoptera)	Attagenus pellio	(Linnaeus, 1758)		NBNSYS0000024283										RedList_GB_post2001-LC														
insect - beetle (Coleoptera)	Attagenus smirnovi	Zhantiev, 1973		NBNSYS0000024284										RedList_GB_post2001-NA														
insect - beetle (Coleoptera)	Attagenus trifasciatus	(Fabricius, 1787)		NHMSYS0001717093										RedList_GB_post2001-NA														
insect - beetle (Coleoptera)	Attagenus unicolor	(Brahm, 1791)		NBNSYS0000024286										RedList_GB_post2001-NA														
insect - beetle (Coleoptera)	Augyles hispidulus	(Kiesenwetter, 1843)		NHMSYS0001717096										RedList_GB_post2001-NT														
insect - beetle (Coleoptera)	Augyles maritimus	(Guérin-Méneville, 1844)		NHMSYS0001717097										RedList_GB_post2001-NT							Scottish_Biodiversity_List							
insect - beetle (Coleoptera)	Aulacobaris lepidii	(Germar, 1823)		NHMSYS0020151433														Notable-A										
insect - beetle (Coleoptera)	Aulacobaris picicornis	(Marsham, 1802)		NHMSYS0020151434														Notable-B										
insect - beetle (Coleoptera)	Aulacochthebius exaratus	(Mulsant, 1844)		NHMSYS0001717100										RedList_GB_post2001-NT														
insect - beetle (Coleoptera)	Aulonium ruficorne	(Olivier, 1790)		NBNSYS0000024815										RedList_GB_post2001-NE														
insect - beetle (Coleoptera)	Aulonium trisulcus	(Geoffroy in Fourcroy, 1785)		NHMSYS0020151438										RedList_GB_post2001-NE														
insect - beetle (Coleoptera)	Aulonothroscus brevicollis	(de Bonvouloir, 1859)		NBNSYS0000010981								RedList_GB_Pre94-R																
insect - beetle (Coleoptera)	Axinotarsus marginalis	(Laporte, 1840)		NHMSYS0001717105										RedList_GB_post2001-NA														
insect - beetle (Coleoptera)	Axinotarsus pulicarius	(Fabricius, 1777)		NHMSYS0001717106										RedList_GB_post2001-VU			NR-includes											
insect - beetle (Coleoptera)	Axinotarsus ruficollis	(Olivier, 1790)		NBNSYS0000024398										RedList_GB_post2001-LC			NS-includes											
insect - beetle (Coleoptera)	Badister bullatus	(Schrank, 1798)		NHMSYS0020109253										RedList_GB_post2001-LC														
insect - beetle (Coleoptera)	Badister collaris	Motschulsky, 1844		NBNSYS0000189304										RedList_GB_post2001-LC			NS-includes											
insect - beetle (Coleoptera)	Badister dilatatus	Chaudoir, 1837		NBNSYS0000007444										RedList_GB_post2001-LC			NS-includes											
insect - beetle (Coleoptera)	Badister meridionalis	Puel, 1925		NBNSYS0000007445										RedList_GB_post2001-NT			NR-includes											
insect - beetle (Coleoptera)	Badister peltatus	(Panzer, 1796)		NBNSYS0000007446										RedList_GB_post2001-LC			NR-includes											
insect - beetle (Coleoptera)	Badister sodalis	(Duftschmid, 1812)		NBNSYS0000007447										RedList_GB_post2001-LC														
insect - beetle (Coleoptera)	Badister unipustulatus	Bonelli, 1813		NBNSYS0000007448										RedList_GB_post2001-LC			NS-includes											
insect - beetle (Coleoptera)	Bagous argillaceus	Gyllenhal, 1836		NBNSYS0000025289								RedList_GB_Pre94-VU																
insect - beetle (Coleoptera)	Bagous binodulus	(Herbst, 1795)		NBNSYS0000025290								RedList_GB_Pre94-EX																
insect - beetle (Coleoptera)	Bagous brevis	Gyllenhal, 1836		NBNSYS0000025291								RedList_GB_Pre94-EN																
insect - beetle (Coleoptera)	Bagous collignensis	(Herbst, 1797)		NBNSYS0000025292								RedList_GB_Pre94-R									Scottish_Biodiversity_List		NI_Priority					
insect - beetle (Coleoptera)	Bagous czwalinai	Seidlitz, 1891		NBNSYS0000025293								RedList_GB_Pre94-EN																
insect - beetle (Coleoptera)	Bagous diglyptus	Boheman, 1845		NBNSYS0000025294								RedList_GB_Pre94-EN																
insect - beetle (Coleoptera)	Bagous frit	(Herbst, 1795)		NBNSYS0000025295								RedList_GB_Pre94-R																
insect - beetle (Coleoptera)	Bagous glabrirostris	(Herbst, 1795)		NBNSYS0000025302														Notable-B										
insect - beetle (Coleoptera)	Bagous limosus	(Gyllenhal, 1827)		NBNSYS0000025296														Notable-B										
insect - beetle (Coleoptera)	Bagous longitarsis	Thomson, C.G., 1868		NBNSYS0000025297								RedList_GB_Pre94-EN																
insect - beetle (Coleoptera)	Bagous lutosus	(Gyllenhal, 1813)		NBNSYS0000025303								RedList_GB_Pre94-EN																
insect - beetle (Coleoptera)	Bagous lutulentus	(Gyllenhal, 1813)		NBNSYS0000025304														Notable-B			Scottish_Biodiversity_List		NI_Priority					
insect - beetle (Coleoptera)	Bagous lutulosus	(Gyllenhal, 1827)		NBNSYS0000025298														Notable-A										
insect - beetle (Coleoptera)	Bagous nodulosus	Gyllenhal, 1836		NBNSYS0000025299								RedList_GB_Pre94-EN							BAP-2007	England_NERC_S.41								
insect - beetle (Coleoptera)	Bagous petro	(Herbst, 1795)		NBNSYS0000025286								RedList_GB_Pre94-EX																
insect - beetle (Coleoptera)	Bagous puncticollis	Boheman, 1854		NBNSYS0000025305								RedList_GB_Pre94-EN																
insect - beetle (Coleoptera)	Bagous subcarinatus	Gyllenhal, 1836		NBNSYS0000025300														Notable-A										
insect - beetle (Coleoptera)	Bagous tempestivus	(Herbst, 1795)		NBNSYS0000025301														Notable-B										
insect - beetle (Coleoptera)	Bagous tubulus	Caldara & O'Brien, 1994		NHMSYS0020919944								RedList_GB_Pre94-VU																
insect - beetle (Coleoptera)	Baris analis	(Olivier, 1791)		NBNSYS0000025432								RedList_GB_Pre94-VU																
insect - beetle (Coleoptera)	Barynotus squamosus	Germar, 1823		NBNSYS0000025173														Notable-B										
insect - beetle (Coleoptera)	Barypeithes sulcifrons	(Boheman, 1842)		NBNSYS0000025157														Notable-B										
insect - beetle (Coleoptera)	Batophila aerata	(Marsham, 1802)		NBNSYS0000011279										RedList_GB_post2001-LC														
insect - beetle (Coleoptera)	Batophila rubi	(Paykull, 1799)		NBNSYS0000011280										RedList_GB_post2001-LC														
insect - beetle (Coleoptera)	Batrisodes adnexus	(Hampe, 1863)		NBNSYS0000024131								RedList_GB_Pre94-EN																
insect - beetle (Coleoptera)	Batrisodes delaporti	(Aubé, 1833)		NHMSYS0001717138								RedList_GB_Pre94-EN																
insect - beetle (Coleoptera)	Batrisodes venustus	(Reichenbach, 1816)		NBNSYS0000024133														Notable-A										
insect - beetle (Coleoptera)	Bembidion aeneum	Germar, 1823		NBNSYS0000007260										RedList_GB_post2001-LC														
insect - beetle (Coleoptera)	Bembidion articulatum	(Panzer, 1796)		NBNSYS0000007255										RedList_GB_post2001-LC														
insect - beetle (Coleoptera)	Bembidion assimile	Gyllenhal, 1810		NBNSYS0000007247										RedList_GB_post2001-LC														
insect - beetle (Coleoptera)	Bembidion atrocaeruleum	(Stephens, 1828)		NHMSYS0020919945										RedList_GB_post2001-LC														
insect - beetle (Coleoptera)	Bembidion biguttatum	(Fabricius, 1779)		NBNSYS0000007261										RedList_GB_post2001-LC														
insect - beetle (Coleoptera)	Bembidion bipunctatum	(Linnaeus, 1761)		NBNSYS0000007215										RedList_GB_post2001-LC			NS-includes											
insect - beetle (Coleoptera)	Bembidion bruxellense	Wesmael, 1835		NBNSYS0000007229										RedList_GB_post2001-LC														
insect - beetle (Coleoptera)	Bembidion bualei	Jacquelin du Val, 1852		NBNSYS0000142867										RedList_GB_post2001-LC			NS-includes											
insect - beetle (Coleoptera)	Bembidion callosum	Küster, 1847		NBNSYS0000007252										RedList_GB_post2001-NA														
insect - beetle (Coleoptera)	Bembidion clarkii	(Dawson, 1849)		NHMSYS0020919947										RedList_GB_post2001-LC														
insect - beetle (Coleoptera)	Bembidion coeruleum	Audinet-Serville, 1821		NHMSYS0021419104										RedList_GB_post2001-VU			NR-includes											
insect - beetle (Coleoptera)	Bembidion decorum	(Zenker in Panzer, 1799)		NBNSYS0000007230										RedList_GB_post2001-LC														
insect - beetle (Coleoptera)	Bembidion deletum	Audinet-Serville, 1821		NHMSYS0020919951										RedList_GB_post2001-LC														
insect - beetle (Coleoptera)	Bembidion dentellum	(Thunberg, 1787)		NBNSYS0000007218										RedList_GB_post2001-LC														
